league,season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
ENG-Premier League,2425,Liverpool,Ryan Gravenberch,NED,MF,22,2002,35.1,69,35,27,29,13,32,56,57.1,24,35,10,25,60,129,59,2
ENG-Premier League,2425,Liverpool,Trent Alexander-Arnold,ENG,DF,25,1998,26.3,72,50,44,19,9,49,105,46.7,56,26,9,17,31,103,55,4
ENG-Premier League,2425,Liverpool,Virgil van Dijk,NED,DF,33,1991,37.0,38,20,17,19,2,13,22,59.1,9,27,16,11,56,94,190,4
ENG-Premier League,2425,Liverpool,Vitezslav Jaros,CZE,GK,23,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Liverpool,Wataru Endo,JPN,"MF,DF",31,1993,3.0,12,8,7,5,0,6,10,60.0,4,8,1,7,6,18,9,0
ENG-Premier League,2425,Manchester City,Abdukodir Khusanov,UZB,DF,20,2004,5.6,5,4,4,1,0,2,3,66.7,1,5,4,1,3,8,29,1
ENG-Premier League,2425,Manchester City,Bernardo Silva,POR,"MF,FW",29,1994,29.7,56,37,17,30,9,25,56,44.6,31,36,7,29,23,79,32,3
ENG-Premier League,2425,Manchester City,Claudio Echeverri,ARG,FW,18,2006,0.1,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Manchester City,Divin Mubama,ENG,FW,19,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Manchester City,Ederson,BRA,GK,30,1993,25.8,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,11,4
ENG-Premier League,2425,Manchester City,Erling Haaland,NOR,FW,24,2000,30.4,11,6,3,3,5,3,8,37.5,5,12,1,11,5,16,23,0
ENG-Premier League,2425,Manchester City,Jack Grealish,ENG,"FW,MF",28,1995,8.0,9,5,4,2,3,2,5,40.0,3,12,2,10,2,11,6,1
ENG-Premier League,2425,Manchester City,Jahmai Simpson-Pusey,ENG,DF,18,2005,1.1,1,0,1,0,0,0,1,0.0,1,1,1,0,0,1,2,0
ENG-Premier League,2425,Manchester City,James Mcatee,ENG,"MF,FW",21,2002,3.9,5,2,0,4,1,1,7,14.3,6,8,0,8,2,7,1,0
ENG-Premier League,2425,Manchester City,Jeremy Doku,BEL,"FW,MF",22,2002,16.8,31,22,9,12,10,8,15,53.3,7,11,1,10,4,35,2,0
ENG-Premier League,2425,Manchester City,John Stones,ENG,"DF,MF",30,1994,6.1,6,2,3,2,1,5,5,100.0,0,5,3,2,4,10,19,1
ENG-Premier League,2425,Manchester City,Joško Gvardiol,CRO,DF,22,2002,36.4,58,39,25,21,12,21,40,52.5,19,42,20,22,44,102,122,8
ENG-Premier League,2425,Manchester City,Kevin De Bruyne,BEL,"MF,FW",33,1991,18.9,17,9,7,5,5,5,23,21.7,18,8,0,8,7,24,10,1
ENG-Premier League,2425,Manchester City,Kyle Walker,ENG,DF,34,1990,10.8,17,10,7,7,3,14,26,53.8,12,13,4,9,3,20,13,1
ENG-Premier League,2425,Manchester City,Manuel Akanji,SUI,DF,29,1995,22.4,19,12,12,4,3,11,17,64.7,6,11,8,3,9,28,64,3
ENG-Premier League,2425,Manchester City,Mateo Kovačić,CRO,MF,30,1994,24.4,69,38,23,38,8,31,65,47.7,34,20,0,20,24,93,21,1
ENG-Premier League,2425,Manchester City,Matheus Nunes,POR,"DF,MF",25,1998,18.6,35,22,15,14,6,16,38,42.1,22,17,4,13,15,50,38,2
ENG-Premier League,2425,Manchester City,Nathan Aké,NED,DF,29,1995,7.5,9,7,7,2,0,4,6,66.7,2,7,2,5,3,12,22,1
ENG-Premier League,2425,Manchester City,Nico O’Reilly,ENG,DF,19,2005,5.9,9,4,3,3,3,4,8,50.0,4,5,1,4,4,13,12,0
ENG-Premier League,2425,Manchester City,Nicolás González,ESP,MF,22,2002,8.4,16,6,5,7,4,6,11,54.5,5,9,0,9,8,24,21,0
ENG-Premier League,2425,Manchester City,Omar Marmoush,EGY,"FW,MF",25,1999,13.1,13,8,2,9,2,8,16,50.0,8,15,1,14,6,19,3,0
ENG-Premier League,2425,Manchester City,Oscar Bobb,NOR,FW,21,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Manchester City,Phil Foden,ENG,"MF,FW",24,2000,19.7,13,5,5,4,4,7,18,38.9,11,13,1,12,9,22,7,1
ENG-Premier League,2425,Manchester City,Rico Lewis,ENG,"DF,MF",19,2004,21.0,30,19,13,12,5,13,21,61.9,8,28,7,21,13,43,45,1
ENG-Premier League,2425,Manchester City,Rodri,ESP,MF,28,1996,0.8,2,1,1,1,0,0,0,,0,1,0,1,1,3,1,0
ENG-Premier League,2425,Manchester City,Rúben Dias,POR,DF,27,1997,25.2,17,11,7,9,1,7,13,53.8,6,23,20,3,20,37,71,4
ENG-Premier League,2425,Manchester City,Stefan Ortega,GER,GK,31,1992,12.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,1
ENG-Premier League,2425,Manchester City,Sávio,BRA,"FW,MF",20,2004,19.6,23,17,5,10,8,10,19,52.6,9,14,2,12,6,29,9,1
ENG-Premier League,2425,Manchester City,Vitor Reis,BRA,DF,18,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Manchester City,İlkay Gündoğan,GER,MF,33,1990,24.7,25,13,5,15,5,10,24,41.7,14,15,0,15,13,38,23,0
ENG-Premier League,2425,Manchester Utd,Alejandro Garnacho,ARG,"MF,FW",20,2004,24.4,30,18,11,6,13,12,37,32.4,25,19,0,19,13,43,11,2
ENG-Premier League,2425,Manchester Utd,Altay Bayındır,TUR,GK,26,1998,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,1
ENG-Premier League,2425,Manchester Utd,Amad Diallo,CIV,"MF,FW",22,2002,21.1,38,31,9,20,9,19,32,59.4,13,15,2,13,11,49,19,1
ENG-Premier League,2425,Manchester Utd,André Onana,CMR,GK,28,1996,34.0,2,2,2,0,0,2,4,50.0,2,0,0,0,0,2,11,4
ENG-Premier League,2425,Manchester Utd,Antony,BRA,"DF,MF",24,2000,1.6,6,3,4,2,0,2,5,40.0,3,2,0,2,2,8,0,0
ENG-Premier League,2425,Manchester Utd,Ayden Heaven,ENG,DF,17,2006,1.9,4,3,1,3,0,2,2,100.0,0,2,2,0,4,8,9,0
ENG-Premier League,2425,Manchester Utd,Bruno Fernandes,POR,MF,29,1994,33.5,84,50,27,38,19,34,85,40.0,51,35,6,29,26,110,35,3
ENG-Premier League,2425,Manchester Utd,Casemiro,BRA,MF,32,1992,16.6,83,50,50,23,10,45,74,60.8,29,39,10,29,14,97,51,3
ENG-Premier League,2425,Manchester Utd,Chidozie Obi-Martin,DEN,FW,16,2007,1.8,2,1,0,0,2,2,2,100.0,0,0,0,0,0,2,1,0
ENG-Premier League,2425,Manchester Utd,Christian Eriksen,DEN,MF,32,1992,11.8,19,9,4,12,3,11,27,40.7,16,15,5,10,7,26,8,0
ENG-Premier League,2425,Manchester Utd,Diogo Dalot,POR,DF,25,1999,31.3,68,40,40,22,6,34,52,65.4,18,22,9,13,37,105,72,0
ENG-Premier League,2425,Manchester Utd,Harry Amass,ENG,DF,17,2007,3.8,6,2,5,1,0,2,8,25.0,6,11,1,10,2,8,11,0
ENG-Premier League,2425,Manchester Utd,Harry Maguire,ENG,DF,31,1993,19.5,30,15,23,6,1,17,23,73.9,6,15,12,3,40,70,78,1
ENG-Premier League,2425,Manchester Utd,Jonny Evans,NIR,DF,36,1988,3.5,8,6,4,4,0,3,6,50.0,3,3,2,1,5,13,15,0
ENG-Premier League,2425,Manchester Utd,Joshua Zirkzee,NED,"FW,MF",23,2001,15.6,14,8,3,8,3,5,10,50.0,5,15,4,11,6,20,8,1
ENG-Premier League,2425,Manchester Utd,Kobbie Mainoo,ENG,MF,19,2005,18.3,46,29,18,14,14,24,40,60.0,16,16,2,14,19,65,14,1
ENG-Premier League,2425,Manchester Utd,Leny Yoro,FRA,DF,18,2005,12.9,29,11,19,9,1,13,19,68.4,6,5,3,2,18,47,43,0
ENG-Premier League,2425,Manchester Utd,Lisandro Martínez,ARG,DF,26,1998,19.5,40,24,25,12,3,21,36,58.3,15,22,8,14,32,72,57,1
ENG-Premier League,2425,Manchester Utd,Luke Shaw,ENG,DF,29,1995,3.9,4,3,2,2,0,2,2,100.0,0,6,1,5,2,6,7,0
ENG-Premier League,2425,Manchester Utd,Manuel Ugarte Ribeiro,URU,MF,23,2001,19.8,77,49,34,34,9,30,68,44.1,38,33,4,29,27,104,17,2
ENG-Premier League,2425,Manchester Utd,Marcus Rashford,ENG,"FW,MF",26,1997,10.9,7,4,2,2,3,3,9,33.3,6,8,0,8,4,11,7,0
ENG-Premier League,2425,Manchester Utd,Mason Mount,ENG,MF,25,1999,6.9,15,5,5,8,2,9,12,75.0,3,11,1,10,4,19,4,0
ENG-Premier League,2425,Manchester Utd,Matthijs de Ligt,NED,DF,24,1999,23.6,30,22,17,12,1,23,32,71.9,9,29,21,8,33,63,96,0
ENG-Premier League,2425,Manchester Utd,Noussair Mazraoui,MAR,DF,26,1997,31.5,115,68,58,42,15,59,94,62.8,35,36,9,27,34,149,95,1
ENG-Premier League,2425,Manchester Utd,Patrick Dorgu,DEN,DF,19,2004,9.4,31,24,15,14,2,16,23,69.6,7,11,0,11,4,35,23,2
ENG-Premier League,2425,Manchester Utd,Rasmus Højlund,DEN,FW,21,2003,22.3,3,1,0,2,1,0,5,0.0,5,6,0,6,2,5,6,0
ENG-Premier League,2425,Manchester Utd,Scott McTominay,SCO,MF,27,1996,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
ENG-Premier League,2425,Manchester Utd,Toby Collyer,ENG,MF,20,2004,2.0,12,9,6,6,0,5,6,83.3,1,2,1,1,2,14,3,0
ENG-Premier League,2425,Manchester Utd,Tyler Fredricson,ENG,DF,19,2005,1.8,5,3,3,2,0,1,2,50.0,1,2,0,2,1,6,11,0
ENG-Premier League,2425,Manchester Utd,Tyrell Malacia,NED,DF,24,1999,1.1,2,1,2,0,0,1,2,50.0,1,0,0,0,1,3,1,1
ENG-Premier League,2425,Manchester Utd,Victor Lindelöf,SWE,DF,30,1994,7.8,7,2,5,1,1,3,4,75.0,1,6,4,2,8,15,36,2
ENG-Premier League,2425,Newcastle Utd,Alexander Isak,SWE,FW,24,1999,30.6,12,5,2,3,7,5,15,33.3,10,18,2,16,3,15,17,1
ENG-Premier League,2425,Newcastle Utd,Anthony Gordon,ENG,"FW,MF",23,2001,27.0,32,18,9,18,5,12,37,32.4,25,25,2,23,7,39,9,3
ENG-Premier League,2425,Newcastle Utd,Bruno Guimarães,BRA,MF,26,1997,36.3,83,47,41,30,12,33,69,47.8,36,36,10,26,29,112,44,5
ENG-Premier League,2425,Newcastle Utd,Callum Wilson,ENG,FW,32,1992,4.1,2,2,0,1,1,0,2,0.0,2,2,0,2,1,3,1,0
ENG-Premier League,2425,Newcastle Utd,Dan Burn,ENG,DF,32,1992,37.0,39,24,22,15,2,20,36,55.6,16,36,26,10,27,66,197,4
ENG-Premier League,2425,Newcastle Utd,Emil Krafth,SWE,DF,29,1994,3.8,4,2,2,1,1,2,3,66.7,1,5,4,1,2,6,16,0
ENG-Premier League,2425,Newcastle Utd,Fabian Schär,SUI,DF,32,1991,32.6,36,21,16,18,2,14,35,40.0,21,38,25,13,45,81,138,3
ENG-Premier League,2425,Newcastle Utd,Harvey Barnes,ENG,FW,26,1997,19.5,16,9,4,6,6,3,11,27.3,8,8,2,6,6,22,15,1
ENG-Premier League,2425,Newcastle Utd,Jacob Murphy,ENG,FW,29,1995,26.2,28,19,10,12,6,20,44,45.5,24,31,0,31,13,41,35,1
ENG-Premier League,2425,Newcastle Utd,Joe Willock,ENG,"MF,FW",24,1999,12.1,30,17,15,12,3,18,31,58.1,13,24,6,18,6,36,7,0
ENG-Premier League,2425,Newcastle Utd,Joelinton,BRA,"MF,FW",27,1996,26.6,57,35,23,23,11,25,44,56.8,19,37,7,30,23,80,47,2
ENG-Premier League,2425,Newcastle Utd,Kieran Trippier,ENG,DF,33,1990,14.5,38,21,18,14,6,22,36,61.1,14,11,3,8,12,50,49,0
ENG-Premier League,2425,Newcastle Utd,Lewis Hall,ENG,DF,19,2004,24.3,58,41,28,22,8,40,74,54.1,34,33,18,15,18,76,75,3
ENG-Premier League,2425,Newcastle Utd,Lewis Miley,ENG,MF,18,2006,3.5,14,11,5,7,2,7,14,50.0,7,5,1,4,2,16,5,2
ENG-Premier League,2425,Newcastle Utd,Lloyd Kelly,ENG,DF,25,1998,3.4,5,4,4,1,0,1,1,100.0,0,6,4,2,1,6,17,0
ENG-Premier League,2425,Newcastle Utd,Martin Dúbravka,SVK,GK,35,1989,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
ENG-Premier League,2425,Newcastle Utd,Matt Targett,ENG,DF,28,1995,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
ENG-Premier League,2425,Newcastle Utd,Miguel Almirón,PAR,FW,30,1994,1.7,3,2,2,0,1,2,3,66.7,1,2,0,2,0,3,0,0
ENG-Premier League,2425,Newcastle Utd,Nick Pope,ENG,GK,32,1992,28.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,32,5
ENG-Premier League,2425,Newcastle Utd,Sandro Tonali,ITA,MF,24,2000,29.2,51,32,22,23,6,25,51,49.0,26,34,11,23,34,85,33,2
ENG-Premier League,2425,Newcastle Utd,Sean Longstaff,ENG,MF,26,1997,8.9,27,16,10,9,8,18,27,66.7,9,17,5,12,7,34,8,0
ENG-Premier League,2425,Newcastle Utd,Sven Botman,NED,DF,24,2000,4.6,12,9,6,5,1,7,9,77.8,2,5,4,1,5,17,25,1
ENG-Premier League,2425,Newcastle Utd,Valentino Livramento,ENG,DF,21,2002,31.6,54,36,35,15,4,32,59,54.2,27,37,11,26,23,77,108,1
ENG-Premier League,2425,Newcastle Utd,William Osula,DEN,FW,20,2003,1.5,2,0,1,0,1,0,2,0.0,2,0,0,0,4,6,2,0
ENG-Premier League,2425,Nott'ham Forest,Anthony Elanga,SWE,"FW,MF",22,2002,27.8,19,14,8,8,3,5,17,29.4,12,11,1,10,6,25,25,0
ENG-Premier League,2425,Nott'ham Forest,Callum Hudson-Odoi,ENG,"FW,MF",23,2000,24.4,22,14,8,8,6,12,18,66.7,6,11,0,11,13,35,12,1
ENG-Premier League,2425,Nott'ham Forest,Chris Wood,NZL,FW,32,1991,32.9,6,5,2,2,2,3,11,27.3,8,12,7,5,5,11,29,1
ENG-Premier League,2425,Nott'ham Forest,Danilo,BRA,"MF,FW",23,2001,3.1,8,4,7,1,0,3,6,50.0,3,2,1,1,4,12,3,0
ENG-Premier League,2425,Nott'ham Forest,Elliot Anderson,ENG,MF,21,2002,30.3,92,56,54,29,9,48,111,43.2,63,48,9,39,31,123,76,4
ENG-Premier League,2425,Nott'ham Forest,Eric da Silva Moreira,GER,"MF,DF",18,2006,0.3,2,2,2,0,0,2,6,33.3,4,0,0,0,1,3,0,0
ENG-Premier League,2425,Nott'ham Forest,Harry Toffolo,ENG,DF,28,1995,1.5,5,3,3,1,1,3,4,75.0,1,2,2,0,2,7,12,0
ENG-Premier League,2425,Nott'ham Forest,Ibrahim Sangaré,CIV,MF,26,1997,6.6,28,14,8,17,3,8,17,47.1,9,10,4,6,6,34,13,1
ENG-Premier League,2425,Nott'ham Forest,James Ward-Prowse,ENG,MF,29,1994,4.4,4,1,1,3,0,2,2,100.0,0,3,2,1,5,9,8,0
ENG-Premier League,2425,Nott'ham Forest,Jota Silva,POR,"FW,MF",24,1999,9.5,27,14,12,13,2,6,27,22.2,21,9,1,8,12,39,17,0
ENG-Premier League,2425,Nott'ham Forest,Matz Sels,BEL,GK,32,1992,38.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,26,1
ENG-Premier League,2425,Nott'ham Forest,Morato,BRA,DF,23,2001,10.1,22,14,18,3,1,13,21,61.9,8,14,5,9,10,32,78,2
ENG-Premier League,2425,Nott'ham Forest,Morgan Gibbs-White,ENG,MF,24,2000,31.1,43,22,14,23,6,17,33,51.5,16,18,5,13,23,66,29,1
ENG-Premier League,2425,Nott'ham Forest,Murillo,BRA,DF,22,2002,35.4,53,36,38,12,3,27,46,58.7,19,69,45,24,36,89,249,3
ENG-Premier League,2425,Nott'ham Forest,Neco Williams,WAL,DF,23,2001,28.8,90,57,63,19,8,53,86,61.6,33,42,10,32,31,121,137,3
ENG-Premier League,2425,Nott'ham Forest,Nicolás Domínguez,ARG,"MF,FW",26,1998,21.8,86,45,40,35,11,36,76,47.4,40,38,12,26,29,115,54,1
ENG-Premier League,2425,Nott'ham Forest,Nikola Milenković,SRB,DF,26,1997,37.0,51,29,36,13,2,27,34,79.4,7,41,24,17,27,78,209,1
ENG-Premier League,2425,Nott'ham Forest,Ola Aina,NGA,DF,27,1996,33.3,55,42,39,15,1,36,64,56.3,28,34,12,22,33,88,115,4
ENG-Premier League,2425,Nott'ham Forest,Ramón Sosa,PAR,"FW,MF",24,1999,3.3,5,3,3,0,2,1,5,20.0,4,9,0,9,4,9,5,0
ENG-Premier League,2425,Nott'ham Forest,Ryan Yates,ENG,MF,26,1997,21.3,42,21,24,14,4,17,37,45.9,20,38,10,28,26,68,61,1
ENG-Premier League,2425,Nott'ham Forest,Taiwo Awoniyi,NGA,FW,26,1997,4.6,6,3,0,3,3,4,5,80.0,1,1,0,1,0,6,7,0
ENG-Premier League,2425,Nott'ham Forest,Willy Boly,CIV,DF,33,1991,1.7,6,1,5,1,0,4,4,100.0,0,4,2,2,3,9,12,0
ENG-Premier League,2425,Nott'ham Forest,Álex Moreno,ESP,"DF,MF",31,1993,10.6,25,18,20,5,0,15,39,38.5,24,11,5,6,15,40,43,0
ENG-Premier League,2425,Southampton,Aaron Ramsdale,ENG,GK,26,1998,30.0,0,0,0,0,0,0,3,0.0,3,0,0,0,2,2,10,3
ENG-Premier League,2425,Southampton,Adam Armstrong,ENG,"FW,MF",27,1997,13.9,12,3,2,7,3,3,14,21.4,11,6,1,5,3,15,8,0
ENG-Premier League,2425,Southampton,Adam Lallana,ENG,MF,36,1988,4.0,8,5,4,4,0,2,12,16.7,10,4,1,3,5,13,5,0
ENG-Premier League,2425,Southampton,Albert Grønbaek,DEN,"FW,MF",23,2001,1.6,4,1,1,1,2,3,10,30.0,7,1,1,0,0,4,1,0
ENG-Premier League,2425,Southampton,Alex McCarthy,ENG,GK,34,1989,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,4
ENG-Premier League,2425,Southampton,Armel Bella Kotchap,GER,DF,22,2001,3.7,7,5,5,2,0,3,6,50.0,3,2,2,0,5,12,21,1
ENG-Premier League,2425,Southampton,Ben Brereton,CHI,FW,25,1999,5.0,3,2,0,2,1,1,9,11.1,8,2,1,1,0,3,4,0
ENG-Premier League,2425,Southampton,Cameron Archer,ENG,FW,23,2001,16.0,13,8,8,3,2,2,9,22.2,7,5,1,4,2,15,11,0
ENG-Premier League,2425,Southampton,Carlos Alcaraz,ARG,MF,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
ENG-Premier League,2425,Southampton,Charlie Taylor,ENG,DF,30,1993,4.0,7,5,4,3,0,5,7,71.4,2,8,5,3,5,12,31,1
ENG-Premier League,2425,Southampton,Flynn Downes,ENG,MF,25,1999,23.9,49,25,23,21,5,15,36,41.7,21,28,9,19,32,81,51,4
ENG-Premier League,2425,Southampton,Jack Stephens,ENG,DF,30,1994,15.4,34,20,25,9,0,17,30,56.7,13,20,13,7,13,47,53,2
ENG-Premier League,2425,Southampton,James Bree,ENG,DF,26,1997,11.9,19,14,8,10,1,10,25,40.0,15,10,3,7,9,28,29,0
ENG-Premier League,2425,Southampton,Jan Bednarek,POL,DF,28,1996,28.1,36,19,23,13,0,16,31,51.6,15,47,36,11,56,92,190,5
ENG-Premier League,2425,Southampton,Jay Robinson,ENG,"MF,FW",17,2007,1.5,4,1,3,0,1,1,1,100.0,0,0,0,0,0,4,1,0
ENG-Premier League,2425,Southampton,Joachim Kayi Sanda,FRA,DF,17,2006,0.2,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
ENG-Premier League,2425,Southampton,Joe Aribo,NGA,"MF,DF",28,1996,22.4,47,33,17,24,6,17,35,48.6,18,28,11,17,20,67,32,3
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,GK,29,1995,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3
ENG-Premier League,2425,Southampton,Kamaldeen Sulemana,GHA,"FW,MF",22,2002,15.6,22,17,9,5,8,10,15,66.7,5,16,4,12,6,28,9,0
ENG-Premier League,2425,Southampton,Kyle Walker-Peters,ENG,DF,27,1997,32.4,44,29,22,15,7,16,35,45.7,19,27,15,12,19,63,90,1
ENG-Premier League,2425,Southampton,Lesley Ugochukwu,FRA,MF,20,2004,18.4,50,24,16,30,4,18,36,50.0,18,27,10,17,14,64,23,2
ENG-Premier League,2425,Southampton,Mateus Fernandes,POR,MF,20,2004,32.3,89,48,45,28,16,33,72,45.8,39,43,8,35,28,117,35,7
ENG-Premier League,2425,Southampton,Maxwel Cornet,CIV,FW,27,1996,0.8,5,5,1,4,0,0,4,0.0,4,0,0,0,0,5,2,0
ENG-Premier League,2425,Southampton,Nathan Wood-Gordon,ENG,DF,22,2002,8.6,14,8,8,5,1,8,11,72.7,3,9,6,3,5,19,39,2
ENG-Premier League,2425,Southampton,Paul Onuachu,NGA,FW,30,1994,11.7,7,2,1,5,1,3,7,42.9,4,7,2,5,1,8,16,1
ENG-Premier League,2425,Southampton,Ronnie Edwards,ENG,DF,21,2003,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
ENG-Premier League,2425,Southampton,Ross Stewart,SCO,FW,28,1996,4.3,6,4,1,1,4,3,8,37.5,5,3,0,3,1,7,7,0
ENG-Premier League,2425,Southampton,Ryan Fraser,SCO,"FW,DF",30,1994,3.4,6,2,2,4,0,4,6,66.7,2,1,1,0,1,7,9,0
ENG-Premier League,2425,Southampton,Ryan Manning,IRL,"DF,MF",28,1996,16.2,28,17,16,10,2,14,26,53.8,12,20,11,9,17,45,47,0
ENG-Premier League,2425,Southampton,Samuel Amo-Ameyaw,ENG,"FW,DF",18,2006,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Southampton,Samuel Edozie,ENG,"DF,FW",21,2003,0.7,3,1,0,1,2,2,2,100.0,0,0,0,0,0,3,0,0
ENG-Premier League,2425,Southampton,Taylor Harwood-Bellis,ENG,DF,22,2002,31.4,28,20,13,12,3,19,35,54.3,16,65,43,22,30,58,141,6
ENG-Premier League,2425,Southampton,Tyler Dibling,ENG,"FW,MF",18,2006,20.8,34,20,13,18,3,16,26,61.5,10,19,5,14,8,42,16,1
ENG-Premier League,2425,Southampton,Welington,BRA,DF,23,2001,5.4,21,9,15,5,1,12,19,63.2,7,5,1,4,7,28,36,0
ENG-Premier League,2425,Southampton,William Smallbone,IRL,MF,24,2000,7.7,20,13,9,9,2,7,22,31.8,15,8,0,8,2,22,14,2
ENG-Premier League,2425,Southampton,Yukinari Sugawara,JPN,"DF,MF",24,2000,17.3,31,18,16,14,1,19,31,61.3,12,21,10,11,11,42,53,3
ENG-Premier League,2425,Tottenham,Alfie Dorrington,ENG,DF,19,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Tottenham,Antonín Kinský,CZE,GK,21,2003,6.0,3,1,3,0,0,1,1,100.0,0,0,0,0,0,3,9,1
ENG-Premier League,2425,Tottenham,Archie Gray,ENG,"DF,MF",18,2006,19.5,16,8,4,8,4,7,17,41.2,10,22,11,11,19,35,50,2
ENG-Premier League,2425,Tottenham,Ben Davies,WAL,DF,31,1993,14.8,17,11,8,8,1,9,17,52.9,8,28,19,9,12,29,81,1
ENG-Premier League,2425,Tottenham,Brandon Austin,ENG,GK,25,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Tottenham,Brennan Johnson,WAL,FW,23,2001,24.2,39,26,9,20,10,16,34,47.1,18,25,3,22,4,43,14,0
ENG-Premier League,2425,Tottenham,Cristian Romero,ARG,DF,26,1998,15.7,35,29,26,8,1,21,30,70.0,9,18,3,15,21,56,57,2
ENG-Premier League,2425,Tottenham,Dane Scarlett,ENG,"FW,MF",20,2004,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0
ENG-Premier League,2425,Tottenham,Dejan Kulusevski,SWE,"MF,FW",24,2000,26.5,45,23,17,13,15,19,51,37.3,32,34,5,29,13,58,10,1
ENG-Premier League,2425,Tottenham,Destiny Udogie,ITA,DF,21,2002,21.4,75,47,42,26,7,33,48,68.8,15,40,6,34,22,97,36,1
ENG-Premier League,2425,Tottenham,Djed Spence,ENG,DF,23,2000,19.9,47,34,25,15,7,23,30,76.7,7,28,9,19,21,68,74,2
ENG-Premier League,2425,Tottenham,Dominic Solanke,ENG,FW,26,1997,24.5,18,11,1,12,5,4,16,25.0,12,20,9,11,1,19,23,0
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,GK,36,1988,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,3
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,27,1996,24.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,6
ENG-Premier League,2425,Tottenham,James Maddison,ENG,MF,27,1996,20.1,31,19,8,16,7,9,29,31.0,20,15,4,11,12,43,19,1
ENG-Premier League,2425,Tottenham,Kevin Danso,AUT,DF,25,1998,9.4,7,5,4,3,0,6,11,54.5,5,15,14,1,6,13,71,1
ENG-Premier League,2425,Tottenham,Lucas Bergvall,SWE,MF,18,2006,13.5,39,19,14,20,5,17,32,53.1,15,18,8,10,24,63,22,3
ENG-Premier League,2425,Tottenham,Mathys Tel,FRA,FW,19,2005,10.1,16,6,5,6,5,5,13,38.5,8,8,1,7,2,18,8,2
ENG-Premier League,2425,Tottenham,Micky van de Ven,NED,DF,23,2001,11.3,10,6,5,4,1,8,14,57.1,6,12,8,4,10,20,39,1
ENG-Premier League,2425,Tottenham,Mikey Moore,ENG,FW,16,2007,4.1,2,1,2,0,0,0,4,0.0,4,2,0,2,1,3,4,0
ENG-Premier League,2425,Tottenham,Pape Matar Sarr,SEN,MF,21,2002,21.3,49,36,19,23,7,12,25,48.0,13,26,10,16,30,79,25,1
ENG-Premier League,2425,Tottenham,Pedro Porro,ESP,DF,24,1999,29.0,66,49,34,22,10,44,77,57.1,33,44,17,27,36,102,84,2
ENG-Premier League,2425,Tottenham,Radu Drăgușin,ROU,DF,22,2002,13.9,10,6,8,2,0,6,12,50.0,6,22,16,6,15,25,49,4
ENG-Premier League,2425,Tottenham,Richarlison,BRA,FW,27,1997,5.6,5,3,0,4,1,0,3,0.0,3,1,1,0,0,5,8,0
ENG-Premier League,2425,Tottenham,Rodrigo Bentancur,URU,MF,27,1997,18.3,40,22,19,17,4,19,40,47.5,21,25,8,17,40,80,38,1
ENG-Premier League,2425,Tottenham,Sergio Reguilón,ESP,DF,27,1996,2.2,4,3,1,3,0,2,5,40.0,3,7,0,7,4,8,8,0
ENG-Premier League,2425,Tottenham,Son Heung-min,KOR,FW,32,1992,23.4,17,9,3,8,6,5,27,18.5,22,11,0,11,5,22,17,1
