league,season,team,player,nation,pos,age,born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
ENG-Premier League,2425,Brentford,Gustavo Nunes,BRA,"FW,MF",18,2005,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Brentford,Hákon Rafn Valdimarsson,ISL,GK,22,2001,1.6,70,50,20,4,0,0,0,0,0,0,0,0,46,0,0
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,2006,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23,2001,34.4,1273,1112,153,8,5,9,78,139,5,2,0,0,982,8,29
ENG-Premier League,2425,Brentford,Kevin Schade,GER,FW,22,2001,25.5,541,483,57,0,1,4,38,54,0,0,0,0,323,1,20
ENG-Premier League,2425,Brentford,Kim Jisoo,KOR,DF,19,2004,0.3,28,27,1,1,0,0,0,0,0,0,0,0,25,0,0
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26,1998,16.0,644,570,73,2,0,3,14,71,0,0,0,0,504,1,18
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25,1999,12.2,536,471,63,2,0,1,31,61,0,0,0,0,422,2,11
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993,36.4,1717,1367,343,131,0,5,0,0,0,0,0,0,1254,7,0
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28,1996,9.6,486,404,78,15,2,5,33,44,14,11,0,0,363,4,7
ENG-Premier League,2425,Brentford,Michael Kayode,ITA,DF,20,2004,5.9,241,183,58,0,0,0,10,58,0,0,0,0,184,0,3
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,2000,32.3,1529,1368,153,33,27,5,144,9,60,53,0,0,1107,8,36
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23,2001,38.0,1985,1897,83,69,3,6,8,11,0,0,0,0,1705,5,8
ENG-Premier League,2425,Brentford,Rico Henry,ENG,DF,27,1997,1.1,49,39,10,0,0,0,2,10,0,0,0,0,33,0,3
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21,2003,0.0,7,6,0,0,0,0,0,0,0,0,0,0,4,1,1
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,22,2001,28.7,1278,1177,100,18,0,2,7,61,0,0,0,0,1092,1,7
ENG-Premier League,2425,Brentford,Thiago,BRA,"FW,MF",23,2001,1.9,56,55,1,0,0,0,2,0,0,0,0,0,40,0,0
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26,1998,25.0,1057,1033,18,12,3,6,30,6,0,0,0,0,872,6,16
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20,2004,16.1,760,752,7,3,4,9,16,4,0,0,0,0,661,1,12
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,27,1996,32.4,588,552,33,4,5,1,20,2,1,0,0,0,450,3,23
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,"FW,MF",18,2006,0.5,36,35,1,0,0,0,0,1,0,0,0,0,26,0,1
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29,1995,9.9,725,650,73,30,0,3,2,0,0,0,0,0,636,2,5
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21,2002,36.0,1315,1164,145,62,0,0,0,0,0,0,0,0,1011,6,2
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,2001,1.1,67,65,2,1,1,2,1,0,1,1,0,0,58,0,0
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,2004,7.6,251,211,40,7,2,2,29,10,17,8,7,1,187,0,3
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20,2004,29.6,1314,1289,23,10,7,3,9,3,0,0,0,0,1149,2,14
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,33,1990,23.5,491,472,18,2,0,0,3,2,0,0,0,0,417,1,13
ENG-Premier League,2425,Brighton,Diego Gómez,PAR,MF,21,2003,5.7,302,283,19,2,4,2,12,1,6,2,3,0,243,0,9
ENG-Premier League,2425,Brighton,Eiran Cashin,IRL,DF,22,2001,0.2,28,28,0,0,0,0,1,0,0,0,0,0,23,0,0
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,19,2004,2.7,58,52,5,0,0,0,0,0,0,0,0,0,43,1,1
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",24,1999,4.3,175,157,17,2,1,0,9,15,0,0,0,0,144,1,1
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",22,2002,18.4,355,344,9,0,12,0,9,0,0,0,0,0,237,2,14
ENG-Premier League,2425,Brighton,Harry Howell,ENG,FW,15,2008,0.1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26,1998,10.7,730,680,48,12,3,4,4,11,0,0,0,0,671,2,5
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19,2005,20.5,1046,927,118,27,0,8,27,75,8,4,1,1,870,1,11
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25,1999,0.1,22,22,0,0,0,0,1,0,0,0,0,0,18,0,0
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38,1986,1.9,74,63,11,4,2,0,8,0,6,2,3,0,55,0,1
