league,season,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
ENG-Premier League,2425,Tottenham,Will Lankshear,ENG,"FW,MF",19,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Tottenham,Wilson Odobert,FRA,"FW,MF",19,2004,9.4,16,1.7,14,0,0,2,0,0,1,0.11,1,0,0,0,0,0
ENG-Premier League,2425,Tottenham,Yves Bissouma,MLI,MF,27,1996,15.6,16,1.02,15,0,0,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,West Ham,Aaron Cresswell,ENG,DF,34,1989,9.2,15,1.64,7,8,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,West Ham,Aaron Wan-Bissaka,ENG,DF,26,1997,35.0,93,2.65,75,4,7,3,2,2,10,0.29,9,0,0,1,0,0
ENG-Premier League,2425,West Ham,Alphonse Areola,FRA,GK,31,1993,25.1,3,0.12,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,West Ham,Andy Irving,SCO,MF,24,2000,1.8,5,2.68,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,West Ham,Carlos Soler,ESP,"MF,FW",27,1997,15.7,51,3.26,31,9,2,5,3,1,2,0.13,2,0,0,0,0,0
ENG-Premier League,2425,West Ham,Crysencio Summerville,NED,"FW,MF",22,2001,8.7,35,4.01,21,3,5,0,5,1,1,0.11,1,0,0,0,0,0
ENG-Premier League,2425,West Ham,Danny Ings,ENG,"FW,MF",32,1992,3.2,12,3.8,7,0,1,3,1,0,2,0.63,0,0,0,1,1,0
ENG-Premier League,2425,West Ham,Edson Álvarez,MEX,MF,26,1997,19.7,28,1.42,24,0,2,1,1,0,2,0.1,2,0,0,0,0,0
ENG-Premier League,2425,West Ham,Emerson Palmieri,ITA,DF,29,1994,23.5,41,1.75,25,11,0,2,2,1,2,0.09,1,1,0,0,0,0
ENG-Premier League,2425,West Ham,Evan Ferguson,IRL,FW,19,2004,1.7,4,2.31,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,West Ham,Guido Rodríguez,ARG,MF,30,1994,12.8,12,0.94,10,0,0,2,0,0,1,0.08,1,0,0,0,0,0
ENG-Premier League,2425,West Ham,James Ward-Prowse,ENG,MF,29,1994,11.5,34,2.95,19,11,0,3,0,1,1,0.09,0,1,0,0,0,0
ENG-Premier League,2425,West Ham,Jarrod Bowen,ENG,"FW,MF",27,1996,33.0,113,3.42,70,13,6,13,9,2,15,0.45,11,2,1,1,0,0
ENG-Premier League,2425,West Ham,Jean-Clair Todibo,FRA,DF,24,1999,20.3,5,0.25,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,West Ham,Kaelan Casey,ENG,DF,19,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,West Ham,Konstantinos Mavropanos,GRE,DF,26,1997,22.7,16,0.7,12,0,1,2,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,West Ham,Lewis Orford,ENG,MF,18,2006,0.5,2,3.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,West Ham,Lucas Paquetá,BRA,"MF,FW",26,1997,26.4,82,3.1,68,2,2,4,5,1,6,0.23,3,0,0,2,1,0
ENG-Premier League,2425,West Ham,Luis Guilherme,BRA,"MF,FW",18,2006,1.7,10,6.0,6,1,1,1,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,West Ham,Max Kilman,ENG,DF,27,1997,37.2,32,0.86,28,0,2,0,0,2,5,0.13,3,0,1,0,0,1
ENG-Premier League,2425,West Ham,Michail Antonio,JAM,FW,34,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0
ENG-Premier League,2425,West Ham,Mohammed Kudus,GHA,"FW,MF",23,2000,28.8,107,3.72,74,1,16,12,2,2,10,0.35,6,0,1,3,0,0
ENG-Premier League,2425,West Ham,Niclas Füllkrug,GER,FW,31,1993,8.8,22,2.5,20,0,0,2,0,0,2,0.23,1,0,0,1,0,0
ENG-Premier League,2425,West Ham,Oliver Scarles,ENG,"DF,FW",18,2005,7.4,6,0.81,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,West Ham,Tomáš Souček,CZE,MF,29,1995,28.5,44,1.54,35,0,0,6,2,1,3,0.11,2,0,0,0,1,0
ENG-Premier League,2425,West Ham,Vladimír Coufal,CZE,DF,31,1992,11.9,18,1.52,14,4,0,0,0,0,1,0.08,0,1,0,0,0,0
ENG-Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,39,1985,12.9,3,0.23,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,Alfie Pond,ENG,DF,20,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,André,BRA,MF,23,2001,27.5,49,1.78,41,3,1,0,0,4,3,0.11,2,1,0,0,0,0
ENG-Premier League,2425,Wolves,Boubacar Traoré,MLI,MF,22,2001,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,Carlos Forbs,POR,"MF,FW",20,2004,2.7,5,1.89,3,0,2,0,0,0,1,0.38,1,0,0,0,0,0
ENG-Premier League,2425,Wolves,Chiquinho,POR,MF,24,2000,0.1,2,25.71,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,Craig Dawson,ENG,DF,34,1990,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0
ENG-Premier League,2425,Wolves,Daniel Bentley,ENG,GK,31,1993,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,Daniel Podence,POR,"MF,FW",28,1995,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,Emmanuel Agbadou,CIV,DF,27,1997,15.7,17,1.09,15,2,0,0,0,0,3,0.19,2,1,0,0,0,0
ENG-Premier League,2425,Wolves,Gonçalo Guedes,POR,"MF,FW",27,1996,11.1,30,2.71,27,0,2,0,1,0,8,0.72,7,0,1,0,0,0
ENG-Premier League,2425,Wolves,Hwang Hee-chan,KOR,"MF,FW",28,1996,7.3,9,1.22,8,0,0,1,0,0,1,0.14,1,0,0,0,0,0
ENG-Premier League,2425,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",26,1998,18.6,57,3.06,35,5,4,4,7,2,11,0.59,8,1,0,0,1,1
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31,1993,29.0,5,0.17,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,23,2001,33.0,67,2.03,53,1,5,2,2,4,4,0.12,4,0,0,0,0,0
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,24,2000,28.7,42,1.46,33,1,1,3,2,2,6,0.21,6,0,0,0,0,0
