league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
ENG-Premier League,2425,Tottenham,Ben Davies,WAL,DF,31,1993,14.8,0,5,1,20.0,0.34,0.07,0.0,0.0,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3
ENG-Premier League,2425,Tottenham,Brandon Austin,ENG,GK,25,1999,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Tottenham,Brennan Johnson,WAL,FW,23,2001,24.2,11,54,20,37.0,2.23,0.83,0.2,0.55,11.4,0,0,0,10.4,10.4,0.19,0.6,0.6
ENG-Premier League,2425,Tottenham,Cristian Romero,ARG,DF,26,1998,15.7,1,16,8,50.0,1.02,0.51,0.06,0.13,9.1,0,0,0,1.6,1.6,0.1,-0.6,-0.6
ENG-Premier League,2425,Tottenham,Dane Scarlett,ENG,"FW,MF",20,2004,0.4,0,1,1,100.0,2.65,2.65,0.0,0.0,13.9,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,2425,Tottenham,Dejan Kulusevski,SWE,"MF,FW",24,2000,26.5,7,47,17,36.2,1.77,0.64,0.15,0.41,14.7,0,0,0,4.2,4.2,0.09,2.8,2.8
ENG-Premier League,2425,Tottenham,Destiny Udogie,ITA,DF,21,2002,21.4,0,5,1,20.0,0.23,0.05,0.0,0.0,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3
ENG-Premier League,2425,Tottenham,Djed Spence,ENG,DF,23,2000,19.9,1,10,3,30.0,0.5,0.15,0.1,0.33,23.9,0,0,0,0.6,0.6,0.06,0.4,0.4
ENG-Premier League,2425,Tottenham,Dominic Solanke,ENG,FW,26,1997,24.5,9,59,24,40.7,2.41,0.98,0.14,0.33,12.4,0,1,1,10.9,10.1,0.17,-1.9,-2.1
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,GK,36,1988,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,27,1996,24.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Tottenham,James Maddison,ENG,MF,27,1996,20.1,9,39,17,43.6,1.94,0.85,0.23,0.53,16.7,6,0,0,5.8,5.8,0.15,3.2,3.2
ENG-Premier League,2425,Tottenham,Kevin Danso,AUT,DF,25,1998,9.4,0,7,3,42.9,0.75,0.32,0.0,0.0,16.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4
