fbref_name,fpl_code
Luis Guilherme Lira dos Santos,577114
Max Kilman,214048
Michail Antonio,57531
Mohammed Kudus,460842
Niclas Füllkrug,91889
Ollie Scarles,536109
Tomáš Souček,215439
Vladimír Coufal,164555
Łukasz Fabiański,37096
Alfie Pond,517179
André Trindade da Costa Neto,509291
Boubacar Traoré,476502
Carlos Roberto Forbs Borges,463212
Craig Dawson,60232
Daniel Bentley,79602
Daniel Castelo Podence,200600
Emmanuel Agbadou,516939
Gonçalo Manuel Ganchinho Guedes,181284
Hwang Hee-chan,184754
Jean-Ricner Bellegarde,231057
José Malheiro de Sá,149065
João Victor Gomes da Silva,448089
Jørgen Strand Larsen,247412
Mario Lemina,151086
Marshall Munetsi,433312
Mateus Mané,647671
Matheus Santos Carneiro Da Cunha,430871
Matt Doherty,87835
Nasser Djiga,531170
Nélson Cabral Semedo,200402
Pablo Sarabia,88484
Pedro Cardoso de Lima,641221
Rayan Aït-Nouri,448514
Rodrigo Martins Gomes,483081
Sam Johnstone,101982
Santiago Bueno,231480
Tom King,138001
Tommy Doyle,220394
Toti António Gomes,510362
Yerson Mosquera,501837
Chiquinho,510363
Lucas Paquetá,224024
Dominic Solanke,154566
Morato,485047
Jota Silva,510500
Casemiro,61256
Rodri,220566
Diogo Jota,194634
Ben Johnson,222018
Beto,486385
Igor,223434
Fabio Carvalho,244858
Edmond-Paris Maghoma,220695
Neto,69752
Julian Araujo,436893
Jáder Durán,476344
Emi Buendía,195546
Jorginho,85955
Ben White,198869
