Player,Team,Draft Rank,Points
Areola,West Ham,366,69
PetroviÄ,Bournemouth,367,0
Barnes,Burnley,368,0
Fraser,Wolves,369,0
L.Miley,Newcastle,370,21
Dalot,Man Utd,371,95
EstupiÃ±an,Brighton,372,63
JosÃ© SÃ¡,Wolves,373,93
Walker,Burnley,374,13
Hodge,Wolves,375,0
Truffert,Bournemouth,376,0
Kroupi.Jr,Bournemouth,377,0
Dorgu,Man Utd,378,18
Devenny,Crystal Palace,379,34
Meslier,Leeds,380,0
Cash,Aston Villa,381,76
Abdullahi,Sunderland,382,0
Digne,Aston Villa,383,89
Neto,Bournemouth,384,7
Van Hecke,Brighton,385,87
Obafemi,Burnley,386,0
Bogle,Leeds,387,0
Maatsen,Aston Villa,388,57
Yoro,Man Utd,389,22
Redmond,Aston Villa,390,0
Marshall,West Ham,391,0
Scarlett,Spurs,392,6
Arrizabalaga,Arsenal,393,106
Dunk,Brighton,394,44
Marc Guiu,Sunderland,395,3
Silcott-Duberry,Bournemouth,396,1
Mamardashvili,Liverpool,397,0
Diouf,West Ham,398,0
Patterson,Sunderland,399,0
Senesi,Bournemouth,400,31
Potts,West Ham,401,0
Andrey Santos,Chelsea,402,0
Morgan,Brentford,403,0
Maguire,Man Utd,404,48
Andersen,Fulham,405,51
Young,Aston Villa,406,0
Lankshear,Spurs,407,3
Kayode,Brentford,408,27
Spence,Spurs,409,51
Gonzalez,Wolves,410,0
Gelhardt,Leeds,411,0
Adu-Adjei,Bournemouth,412,0
Struijk,Leeds,413,0
Tosin,Chelsea,414,71
Rusyn,Sunderland,415,0
Steele,Brighton,416,9
Bassey,Fulham,417,75
Mings,Aston Villa,418,47
Dendoncker,Aston Villa,419,0
Van den Berg,Brentford,420,62
F.KadÄ±oÄlu,Brighton,421,19
Hume,Sunderland,422,0
Pau,Aston Villa,423,55
Faivre,Bournemouth,424,0
Kabia,Arsenal,425,0
LuÃ­s Hemir,Sunderland,426,0
Armstrong,Everton,427,2
Marsh,Crystal Palace,428,0
Ba,Sunderland,429,0
Sherif,Everton,430,0
Kilman,West Ham,431,82
M.Bizot,Aston Villa,432,0
Lamptey,Brighton,433,42
H.TraorÃ¨,Bournemouth,434,0
Irving,West Ham,435,9
Pinnock,Brentford,436,47
Richards,Crystal Palace,437,68
Reed,Fulham,438,10
Ballard,Sunderland,439,0
Neave,Newcastle,440,0
Chirewa,Wolves,441,0
Keane,Everton,442,48
Edozie,Wolves,443,0
Agbadou,Wolves,444,45
Broggio,Aston Villa,445,0
Wheatley,Man Utd,446,0
Collyer,Man Utd,447,6
Danns,Liverpool,448,1
Emerson,West Ham,449,76
Fofana,Chelsea,450,26
Travers,Everton,451,19
D.Leon,Man Utd,452,0
Veltman,Brighton,453,59
Matete,Sunderland,454,0
JÃ¶rgensen,Chelsea,455,18
Henry,Brentford,456,4
Doherty,Wolves,457,75
Earthy,West Ham,458,0
Toti,Wolves,459,79
Ajer,Brentford,460,39
Shaw,Man Utd,461,5
Da Silva Moreira,Nott'm Forest,462,2
King,Fulham,463,10
Boscagli,Brighton,464,0
Patterson,Everton,465,14
Johnstone,Wolves,466,12
M.FranÃ§a,Crystal Palace,467,9
Castagne,Fulham,468,46
Sambi,Arsenal,469,0
J.Rak-Sakyi,Crystal Palace,470,0
Smith,Bournemouth,471,57
Tete,Fulham,472,49
Konak,Brentford,473,10
Min-hyeok,Spurs,474,0
Todibo,West Ham,475,54
Orford,West Ham,476,2
Roberts,Burnley,477,0
White,Newcastle,478,0
Danso,Spurs,479,16
Jair Cunha,Nott'm Forest,480,0
Coleman,Everton,481,5
Weiss,Burnley,482,0
Olusesi,Spurs,483,0
R.Gomes,Wolves,484,42
TrÃ©sor,Burnley,485,0
Coppola,Brighton,486,0
N.Aguerd,West Ham,487,0
Browne,Sunderland,488,0
Donovan,Brentford,489,0
M.Sarr,Chelsea,490,0
H.Bueno,Wolves,491,0
Triantis,Sunderland,492,0
Morato,Nott'm Forest,493,36
Harris,Fulham,494,0
B.Badiashile,Chelsea,495,7
Lascelles,Newcastle,496,0
Igor,Brighton,497,18
Webster,Brighton,498,39
Knight,Brighton,499,0
Davies,Spurs,500,28
Mosquera,Wolves,501,3
Hayden,Newcastle,502,0
Diop,Fulham,503,31
Ekwah,Sunderland,504,0
Crew,Leeds,505,0
Mavropanos,West Ham,506,45
H.Jones,Sunderland,507,0
S.Bueno,Wolves,508,52
Kone,Man Utd,509,0
Roerslev,Brentford,510,36
