league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg+xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,expected_npxg/sh,expected_g-xg,expected_np:g-xg
ENG-Premier League,2425,Liverpool,Federico Chiesa,ITA,FW,26.0,1997.0,6,1,108,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,3,7,0.0,0.0,0.0,0.0,0.0,0.28,0.15,0.43,0.28,0.43,6,0,4,0.0,31,30,1,0,0,0,2,1,0,46,2,10,15,21,4,46,2,0,0.0,2,100.0,31,130,58,1,1,3,4,33,0.07,-0.3,-0.3
ENG-Premier League,2425,Liverpool,Harvey Elliott,ENG,MF,21.0,2003.0,18,2,371,4.1,1,2,3,1,0,0,1,0,1.8,1.8,1.1,2.8,10,44,30,0.24,0.49,0.73,0.24,0.73,0.43,0.26,0.69,0.43,0.69,15,1,2,33.3,292,267,22,2,1,3,12,8,6,339,5,32,164,144,21,339,9,4,44.4,4,44.4,188,872,408,11,5,5,4,253,0.1,-0.8,-0.8
ENG-Premier League,2425,Liverpool,Ibrahima Konaté,FRA,DF,25.0,1999.0,31,30,2560,28.4,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,25,115,3,0.04,0.07,0.11,0.04,0.11,0.06,0.03,0.1,0.06,0.1,98,74,29,71.8,1905,1856,46,41,1,5,0,5,0,2185,223,928,1145,119,23,2185,6,3,50.0,2,33.3,1290,6124,3603,15,0,8,2,1576,0.09,-0.7,-0.7
ENG-Premier League,2425,Liverpool,Jarell Quansah,ENG,DF,21.0,2003.0,13,4,495,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,19,4,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,19,7,10,41.2,392,360,32,10,0,1,2,12,0,464,80,245,189,30,6,464,3,1,33.3,2,66.7,268,1421,709,4,1,5,2,321,0.1,-0.1,-0.1
ENG-Premier League,2425,Liverpool,Jayden Danns,ENG,MF,18.0,2006.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,,0,,1,2,1,0,0,0,1,1,,0.0,0.0
ENG-Premier League,2425,Liverpool,Joe Gomez,ENG,DF,27.0,1997.0,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,34,9,4,69.2,425,406,18,12,1,5,2,6,0,481,54,183,264,37,5,481,0,0,,0,,303,1638,947,2,1,1,2,335,0.11,-0.3,-0.3
ENG-Premier League,2425,Liverpool,Kostas Tsimikas,GRE,DF,28.0,1996.0,18,9,837,9.3,0,1,1,0,0,0,2,0,0.4,0.4,2.1,2.5,17,76,43,0.0,0.11,0.11,0.0,0.11,0.04,0.23,0.27,0.04,0.27,31,5,8,38.5,654,536,116,12,1,1,64,63,41,741,33,190,327,229,13,741,12,5,41.7,5,41.7,368,1567,790,8,2,6,4,472,0.1,-0.4,-0.4
ENG-Premier League,2425,Liverpool,Luis Díaz,COL,FW,27.0,1997.0,36,28,2399,26.7,13,5,18,13,0,0,2,0,12.0,12.0,5.0,17.1,108,110,293,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64,105,13,38,25.5,874,855,17,2,2,9,32,14,1,1184,17,90,409,706,167,1184,116,53,45.7,51,44.0,780,5710,2960,55,56,55,49,933,0.17,1.0,1.0
ENG-Premier League,2425,Liverpool,Mohamed Salah,EGY,FW,32.0,1992.0,38,38,3371,37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,154,144,488,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,101,9,14,39.1,1263,1227,30,7,19,3,79,23,0,1695,11,97,500,1119,356,1686,137,58,42.3,72,52.6,1149,6973,3695,59,126,116,67,1407,0.15,3.8,1.8
ENG-Premier League,2425,Liverpool,Ryan Gravenberch,NED,MF,22.0,2002.0,37,37,3160,35.1,0,4,4,0,0,0,6,1,1.1,1.1,3.1,4.2,70,181,55,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.12,0.03,0.12,193,26,14,65.0,1927,1889,32,16,8,7,7,10,0,2343,117,509,1354,512,26,2343,81,37,45.7,30,37.0,1396,7452,3742,75,10,55,26,1669,0.06,-1.1,-1.1
ENG-Premier League,2425,Liverpool,Trent Alexander-Arnold,ENG,DF,25.0,1998.0,33,28,2365,26.3,3,6,9,3,0,0,5,0,1.9,1.9,7.3,9.2,51,232,94,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35,132,3,13,18.8,1971,1651,310,63,12,32,153,192,55,2253,88,593,1014,660,44,2253,37,17,45.9,17,45.9,1184,5358,2860,36,9,19,15,1436,0.04,1.1,1.1
ENG-Premier League,2425,Liverpool,Virgil van Dijk,NED,DF,33.0,1991.0,37,37,3330,37.0,3,1,4,3,0,0,5,0,2.2,2.2,0.7,3.0,22,198,6,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,115,119,46,72.1,2934,2707,224,86,1,22,1,8,0,3300,450,1317,1827,166,48,3300,5,3,60.0,2,40.0,1856,8754,4846,24,3,10,5,2281,0.08,0.8,0.8
ENG-Premier League,2425,Liverpool,Vitezslav Jaros,CZE,GK,23.0,2001.0,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,8,7,1,0,0,0,0,0,0,8,5,8,0,0,0,8,0,0,,0,,7,29,8,0,0,0,0,5,,0.0,0.0
ENG-Premier League,2425,Liverpool,Wataru Endo,JPN,"MF,DF",31.0,1993.0,20,1,273,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,19,8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,14,3,4,42.9,194,188,6,2,0,0,1,4,0,237,12,65,124,49,3,237,2,2,100.0,0,0.0,110,397,169,3,1,6,3,163,,0.0,0.0
ENG-Premier League,2425,Manchester City,Abdukodir Khusanov,UZB,DF,20.0,2004.0,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,27,6,4,60.0,395,385,10,6,0,1,1,3,0,445,45,205,211,31,1,445,2,0,0.0,2,100.0,274,1155,435,1,0,2,1,332,0.02,0.0,0.0
ENG-Premier League,2425,Manchester City,Bernardo Silva,POR,"MF,FW",29.0,1994.0,33,29,2670,29.7,4,4,8,4,0,0,7,0,3.9,3.9,5.1,9.0,101,134,200,0.13,0.13,0.27,0.13,0.27,0.13,0.17,0.3,0.13,0.3,107,5,10,33.3,1783,1654,128,55,4,6,60,44,16,2054,50,355,843,876,141,2054,61,28,45.9,26,42.6,1288,8110,4045,65,32,25,34,1518,0.12,0.1,0.1
ENG-Premier League,2425,Manchester City,Claudio Echeverri,ARG,FW,18.0,2006.0,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,,3,3,0,0,0,0,0,0,0,3,0,0,2,1,0,3,0,0,,0,,3,28,12,0,0,0,1,3,,0.0,0.0
